PRIMEIRO_NOME;primeiro_sobrenome;segundo_sobrenome;PAIS;estado
Pedro;Martins;Santos;Chile;São Paulo
Ana;Oliveira;Lima;Colômbia;Minas Gerais
Carlos;Ferreira;Martins;Brasil;Ceará
Camila;Lima;Costa;Brasil;Paraná
João;Lima;Costa;Colômbia;Rio de Janeiro
Pedro;Almeida;Martins;Chile;Bahia
Gustavo;Silva;Lima;Chile;Rio Grande do Sul
Carlos;Ferreira;Oliveira;Chile;Pernambuco
Ana;Martins;Sousa;Chile;Pernambuco
João;Oliveira;Pereira;Portugal;Paraná
Luísa;Oliveira;Silva;Portugal;Ceará
Pedro;Oliveira;Costa;Brasil;São Paulo
Gustavo;Martins;Sousa;Argentina;Paraná
Carlos;Santos;Sousa;Portugal;Rio de Janeiro
Ana;Almeida;Ferreira;Argentina;Minas Gerais
Carlos;Silva;Ferreira;Brasil;Rio Grande do Sul
Pedro;Silva;Pereira;Argentina;Bahia
João;Oliveira;Almeida;Brasil;Ceará
João;Almeida;Pereira;Colômbia;Pernambuco
Camila;Martins;Oliveira;Argentina;Rio Grande do Sul
Ana;Pereira;Ferreira;Colômbia;Minas Gerais
Pedro;Sousa;Costa;Chile;Rio de Janeiro
Pedro;Lima;Almeida;Colômbia;Rio Grande do Sul
Maria;Sousa;Martins;Argentina;São Paulo
Carlos;Almeida;Lima;Chile;Rio de Janeiro
Camila;Almeida;Almeida;Portugal;Rio de Janeiro
Carlos;Almeida;Martins;Argentina;Ceará
Carlos;Pereira;Almeida;Portugal;Rio Grande do Sul
Ricardo;Almeida;Oliveira;Argentina;Minas Gerais
Camila;Pereira;Ferreira;Chile;Rio Grande do Sul
Maria;Lima;Lima;Argentina;Rio de Janeiro
Carlos;Silva;Oliveira;Portugal;Paraná
Ana;Costa;Sousa;Brasil;São Paulo
Gustavo;Ferreira;Pereira;Brasil;Bahia
Pedro;Oliveira;Santos;Chile;Bahia
Fernanda;Martins;Sousa;Argentina;Rio de Janeiro
João;Lima;Costa;Brasil;Rio Grande do Sul
Ana;Pereira;Almeida;Chile;Pernambuco
Ricardo;Costa;Oliveira;Chile;Rio Grande do Sul
Pedro;Almeida;Ferreira;Brasil;Rio de Janeiro
Pedro;Santos;Ferreira;Argentina;Rio Grande do Sul
João;Silva;Silva;Colômbia;Bahia
Carlos;Silva;Silva;Argentina;Rio de Janeiro
Camila;Martins;Silva;Argentina;Rio Grande do Sul
Pedro;Sousa;Santos;Colômbia;Rio Grande do Sul
Luísa;Almeida;Lima;Portugal;Paraná
Camila;Almeida;Sousa;Portugal;Ceará
Fernanda;Martins;Santos;Portugal;Paraná
Camila;Ferreira;Lima;Argentina;Paraná
João;Pereira;Martins;Chile;Rio de Janeiro
Luísa;Costa;Ferreira;Chile;Rio de Janeiro
João;Sousa;Ferreira;Brasil;Rio Grande do Sul
Ricardo;Silva;Santos;Brasil;São Paulo
Ricardo;Oliveira;Martins;Portugal;Ceará
Maria;Pereira;Lima;Colômbia;Rio de Janeiro
Maria;Pereira;Lima;Argentina;Rio de Janeiro
Ana;Santos;Pereira;Argentina;São Paulo
Pedro;Costa;Santos;Argentina;Minas Gerais
Ricardo;Almeida;Almeida;Chile;São Paulo
Camila;Ferreira;Oliveira;Portugal;Bahia
Gustavo;Martins;Silva;Chile;Pernambuco
Luísa;Oliveira;Sousa;Brasil;Rio Grande do Sul
Carlos;Silva;Costa;Argentina;Bahia
Gustavo;Lima;Costa;Chile;Pernambuco
Carlos;Ferreira;Costa;Colômbia;Bahia
Maria;Santos;Pereira;Argentina;Rio de Janeiro
Fernanda;Silva;Almeida;Argentina;Rio Grande do Sul
Pedro;Almeida;Sousa;Argentina;Bahia
Ana;Lima;Lima;Portugal;Minas Gerais
Camila;Costa;Pereira;Argentina;Bahia
Carlos;Costa;Pereira;Portugal;Rio Grande do Sul
Carlos;Pereira;Oliveira;Portugal;Bahia
Ricardo;Santos;Lima;Chile;Minas Gerais
Camila;Sousa;Martins;Brasil;Paraná
Fernanda;Almeida;Costa;Chile;Ceará
Luísa;Sousa;Silva;Colômbia;Ceará
Ricardo;Lima;Ferreira;Portugal;São Paulo
João;Santos;Oliveira;Chile;Pernambuco
Camila;Pereira;Oliveira;Colômbia;São Paulo
João;Lima;Silva;Portugal;Minas Gerais
Fernanda;Oliveira;Martins;Argentina;Rio Grande do Sul
Gustavo;Lima;Ferreira;Argentina;Pernambuco
Camila;Pereira;Oliveira;Portugal;Paraná
Fernanda;Pereira;Martins;Brasil;Pernambuco
Gustavo;Santos;Sousa;Brasil;Rio de Janeiro
Camila;Oliveira;Sousa;Brasil;Minas Gerais
Ana;Silva;Costa;Portugal;São Paulo
Camila;Almeida;Ferreira;Argentina;Rio de Janeiro
Camila;Silva;Lima;Argentina;São Paulo
João;Almeida;Almeida;Argentina;Ceará
Gustavo;Almeida;Sousa;Portugal;Bahia
João;Lima;Pereira;Chile;Pernambuco
Gustavo;Lima;Costa;Chile;Ceará
Fernanda;Ferreira;Santos;Brasil;Pernambuco
Pedro;Pereira;Martins;Argentina;Bahia
Carlos;Sousa;Costa;Portugal;Ceará
Maria;Ferreira;Pereira;Chile;Bahia
Maria;Pereira;Costa;Colômbia;Ceará
João;Ferreira;Lima;Portugal;Minas Gerais
Maria;Silva;Almeida;Chile;Ceará
Camila;Sousa;Martins;Argentina;São Paulo
Ricardo;Costa;Lima;Argentina;Rio de Janeiro
João;Almeida;Silva;Brasil;Paraná
Carlos;Silva;Pereira;Portugal;Paraná
Pedro;Costa;Ferreira;Portugal;Paraná
Ricardo;Costa;Costa;Portugal;Pernambuco
Gustavo;Oliveira;Silva;Brasil;Paraná
Luísa;Pereira;Silva;Portugal;Pernambuco
Gustavo;Ferreira;Costa;Argentina;Ceará
Carlos;Pereira;Lima;Argentina;São Paulo
Ricardo;Pereira;Pereira;Portugal;São Paulo
Maria;Lima;Ferreira;Chile;Bahia
Luísa;Oliveira;Martins;Portugal;Paraná
João;Costa;Oliveira;Brasil;Pernambuco
Ana;Oliveira;Ferreira;Colômbia;São Paulo
Ricardo;Santos;Martins;Argentina;São Paulo
Camila;Silva;Ferreira;Colômbia;Paraná
Gustavo;Almeida;Almeida;Colômbia;São Paulo
Camila;Santos;Silva;Argentina;São Paulo
Ricardo;Silva;Lima;Brasil;Rio de Janeiro
Carlos;Pereira;Lima;Brasil;São Paulo
Fernanda;Santos;Sousa;Argentina;Rio de Janeiro
Maria;Santos;Silva;Brasil;Bahia
Ana;Pereira;Pereira;Chile;Ceará
Ana;Ferreira;Almeida;Colômbia;Pernambuco
Camila;Martins;Silva;Brasil;Paraná
Luísa;Costa;Costa;Portugal;Bahia
Pedro;Oliveira;Ferreira;Argentina;Bahia
Ricardo;Lima;Santos;Colômbia;Pernambuco
Ricardo;Santos;Santos;Chile;São Paulo
João;Lima;Martins;Portugal;Rio de Janeiro
Luísa;Santos;Almeida;Argentina;Bahia
Ana;Silva;Pereira;Chile;Bahia
Gustavo;Silva;Costa;Colômbia;São Paulo
Pedro;Almeida;Silva;Portugal;Paraná
Carlos;Santos;Ferreira;Chile;Pernambuco
Luísa;Santos;Santos;Argentina;Rio Grande do Sul
Gustavo;Sousa;Ferreira;Colômbia;Bahia
Gustavo;Lima;Martins;Colômbia;Rio de Janeiro
Gustavo;Oliveira;Silva;Brasil;Ceará
Camila;Lima;Pereira;Brasil;Bahia
Camila;Oliveira;Pereira;Colômbia;Bahia
Luísa;Costa;Ferreira;Brasil;Rio de Janeiro
Camila;Oliveira;Martins;Portugal;Rio Grande do Sul
Gustavo;Ferreira;Santos;Colômbia;Pernambuco
Camila;Sousa;Lima;Chile;Bahia
João;Lima;Santos;Argentina;Rio de Janeiro
João;Ferreira;Santos;Chile;Minas Gerais
Ricardo;Sousa;Silva;Argentina;Paraná
João;Costa;Martins;Portugal;Rio Grande do Sul
Gustavo;Pereira;Santos;Brasil;Paraná
Ana;Silva;Almeida;Brasil;Bahia
Maria;Sousa;Oliveira;Colômbia;Ceará
Gustavo;Lima;Pereira;Portugal;Minas Gerais
João;Lima;Martins;Colômbia;São Paulo
Camila;Pereira;Ferreira;Argentina;São Paulo
Luísa;Lima;Sousa;Argentina;Paraná
Gustavo;Silva;Sousa;Argentina;Paraná
Luísa;Ferreira;Almeida;Brasil;Pernambuco
João;Costa;Costa;Chile;São Paulo
Maria;Lima;Ferreira;Colômbia;Ceará
Gustavo;Almeida;Costa;Brasil;São Paulo
Pedro;Oliveira;Oliveira;Colômbia;Rio de Janeiro
João;Silva;Ferreira;Colômbia;São Paulo
Gustavo;Pereira;Martins;Portugal;Pernambuco
Ricardo;Costa;Ferreira;Chile;Bahia
Ana;Silva;Martins;Chile;Rio Grande do Sul
Carlos;Costa;Oliveira;Colômbia;Rio de Janeiro
Pedro;Pereira;Sousa;Portugal;Ceará
Camila;Ferreira;Lima;Brasil;Rio Grande do Sul
Gustavo;Santos;Oliveira;Argentina;Paraná
Luísa;Costa;Costa;Colômbia;Bahia
Maria;Lima;Sousa;Argentina;São Paulo
Pedro;Almeida;Silva;Portugal;Paraná
Maria;Lima;Silva;Portugal;Minas Gerais
Maria;Lima;Santos;Colômbia;Minas Gerais
Luísa;Sousa;Ferreira;Argentina;Ceará
Carlos;Santos;Lima;Brasil;Rio Grande do Sul
Fernanda;Santos;Lima;Brasil;Paraná
João;Pereira;Costa;Brasil;Paraná
Pedro;Santos;Santos;Argentina;São Paulo
Ricardo;Ferreira;Sousa;Argentina;Paraná
Ana;Oliveira;Lima;Argentina;Rio de Janeiro
Pedro;Costa;Sousa;Chile;Minas Gerais
Ana;Pereira;Almeida;Colômbia;Minas Gerais
Gustavo;Lima;Almeida;Portugal;São Paulo
Maria;Pereira;Ferreira;Chile;Ceará
João;Pereira;Oliveira;Portugal;Pernambuco
Luísa;Sousa;Lima;Argentina;Minas Gerais
Ana;Silva;Costa;Colômbia;Paraná
Luísa;Oliveira;Silva;Argentina;Paraná
Pedro;Lima;Almeida;Colômbia;Rio Grande do Sul
Camila;Lima;Almeida;Brasil;Rio Grande do Sul
Pedro;Martins;Almeida;Argentina;Ceará
Ricardo;Sousa;Santos;Portugal;Minas Gerais
Maria;Santos;Lima;Argentina;Minas Gerais
Carlos;Costa;Oliveira;Chile;Pernambuco
Luísa;Oliveira;Lima;Colômbia;Bahia
Pedro;Almeida;Lima;Argentina;Minas Gerais
Gustavo;Sousa;Silva;Colômbia;Pernambuco
Carlos;Sousa;Sousa;Brasil;Pernambuco
Gustavo;Ferreira;Oliveira;Chile;Bahia
Ana;Oliveira;Oliveira;Portugal;São Paulo
Gustavo;Lima;Costa;Portugal;Rio de Janeiro
Ricardo;Ferreira;Silva;Colômbia;Ceará
Camila;Ferreira;Oliveira;Brasil;Minas Gerais
Pedro;Almeida;Almeida;Argentina;São Paulo
Maria;Costa;Sousa;Portugal;Rio Grande do Sul
Pedro;Lima;Oliveira;Brasil;Minas Gerais
Fernanda;Lima;Ferreira;Brasil;Bahia
Ricardo;Ferreira;Costa;Brasil;Rio de Janeiro
Pedro;Sousa;Sousa;Chile;São Paulo
Ana;Almeida;Oliveira;Chile;Paraná
Gustavo;Pereira;Sousa;Portugal;Minas Gerais
João;Almeida;Oliveira;Chile;Bahia
Luísa;Silva;Pereira;Brasil;Bahia
Gustavo;Santos;Silva;Chile;Paraná
Luísa;Martins;Almeida;Portugal;Rio Grande do Sul
Carlos;Costa;Silva;Chile;Pernambuco
Gustavo;Martins;Oliveira;Portugal;Rio Grande do Sul
Maria;Sousa;Ferreira;Argentina;Bahia
João;Lima;Ferreira;Portugal;Pernambuco
Maria;Pereira;Lima;Portugal;Ceará
Luísa;Martins;Costa;Brasil;São Paulo
Gustavo;Lima;Martins;Colômbia;Pernambuco
Pedro;Oliveira;Santos;Portugal;Pernambuco
João;Santos;Pereira;Portugal;Pernambuco
Gustavo;Oliveira;Martins;Colômbia;Rio de Janeiro
Gustavo;Martins;Costa;Brasil;Minas Gerais
João;Ferreira;Ferreira;Colômbia;Paraná
Maria;Silva;Almeida;Brasil;Ceará
Fernanda;Costa;Oliveira;Colômbia;Minas Gerais
Carlos;Ferreira;Ferreira;Argentina;Ceará
Camila;Ferreira;Sousa;Brasil;Rio de Janeiro
Ana;Costa;Silva;Portugal;Ceará
Carlos;Silva;Pereira;Portugal;São Paulo
Maria;Almeida;Ferreira;Brasil;São Paulo
Gustavo;Santos;Santos;Argentina;Rio de Janeiro
Gustavo;Ferreira;Santos;Argentina;Ceará
Ricardo;Martins;Santos;Chile;Rio Grande do Sul
João;Lima;Lima;Chile;São Paulo
Ana;Sousa;Santos;Argentina;Bahia
Maria;Oliveira;Sousa;Portugal;Rio Grande do Sul
Ana;Martins;Oliveira;Chile;Ceará
Maria;Pereira;Silva;Chile;São Paulo
Ricardo;Almeida;Almeida;Brasil;Rio Grande do Sul
João;Oliveira;Pereira;Colômbia;Bahia
Carlos;Oliveira;Almeida;Chile;Rio Grande do Sul
Ricardo;Lima;Santos;Colômbia;Ceará
Ricardo;Almeida;Sousa;Brasil;Minas Gerais
Carlos;Sousa;Martins;Chile;Pernambuco
Carlos;Pereira;Silva;Brasil;Minas Gerais
Ana;Sousa;Pereira;Argentina;Ceará
Gustavo;Pereira;Sousa;Brasil;Paraná
Ana;Pereira;Sousa;Brasil;Bahia
Camila;Lima;Oliveira;Colômbia;Rio Grande do Sul
Ricardo;Silva;Ferreira;Brasil;Rio de Janeiro
João;Silva;Oliveira;Portugal;Bahia
Luísa;Almeida;Costa;Chile;São Paulo
João;Oliveira;Silva;Brasil;Ceará
Pedro;Ferreira;Santos;Chile;São Paulo
Carlos;Santos;Martins;Colômbia;Paraná
Fernanda;Silva;Santos;Argentina;Paraná
Luísa;Santos;Costa;Colômbia;Pernambuco
Camila;Sousa;Martins;Portugal;Ceará
Maria;Lima;Ferreira;Colômbia;São Paulo
Gustavo;Almeida;Costa;Argentina;Paraná
Pedro;Santos;Martins;Colômbia;Rio de Janeiro
Camila;Pereira;Martins;Argentina;Pernambuco
Carlos;Oliveira;Pereira;Chile;Rio de Janeiro
Gustavo;Pereira;Almeida;Portugal;Minas Gerais
Ricardo;Santos;Sousa;Argentina;Minas Gerais
João;Oliveira;Silva;Brasil;Ceará
Pedro;Martins;Martins;Brasil;Minas Gerais
João;Santos;Costa;Chile;Minas Gerais
Fernanda;Santos;Ferreira;Argentina;Paraná
Camila;Pereira;Martins;Chile;Pernambuco
Fernanda;Sousa;Almeida;Chile;Rio Grande do Sul
Maria;Santos;Lima;Argentina;Ceará
Luísa;Sousa;Ferreira;Colômbia;São Paulo
Maria;Almeida;Silva;Chile;Pernambuco
Pedro;Costa;Lima;Argentina;Paraná
Camila;Ferreira;Ferreira;Colômbia;Ceará
Luísa;Sousa;Lima;Chile;Minas Gerais
Carlos;Lima;Silva;Argentina;Rio Grande do Sul
Fernanda;Oliveira;Santos;Chile;Rio de Janeiro
Fernanda;Costa;Ferreira;Argentina;São Paulo
Ricardo;Almeida;Costa;Chile;Bahia
Pedro;Santos;Ferreira;Portugal;Rio de Janeiro
Gustavo;Costa;Martins;Portugal;Ceará
Pedro;Silva;Oliveira;Chile;Rio de Janeiro
Gustavo;Costa;Ferreira;Colômbia;Minas Gerais
Carlos;Oliveira;Almeida;Chile;Minas Gerais
Ana;Oliveira;Silva;Chile;Pernambuco
Maria;Oliveira;Ferreira;Brasil;Minas Gerais
João;Pereira;Lima;Chile;Pernambuco
Ana;Ferreira;Lima;Portugal;São Paulo
Camila;Lima;Pereira;Chile;Pernambuco
Gustavo;Costa;Oliveira;Chile;Ceará
Carlos;Martins;Martins;Portugal;São Paulo
Luísa;Pereira;Ferreira;Brasil;Rio Grande do Sul
Carlos;Lima;Pereira;Brasil;São Paulo
Luísa;Oliveira;Silva;Colômbia;São Paulo
Luísa;Santos;Silva;Colômbia;Ceará
Fernanda;Martins;Sousa;Brasil;Ceará
Fernanda;Ferreira;Almeida;Portugal;Rio de Janeiro
Fernanda;Martins;Sousa;Argentina;Paraná
Pedro;Martins;Almeida;Colômbia;Pernambuco
Gustavo;Costa;Almeida;Colômbia;Minas Gerais
Camila;Martins;Santos;Portugal;Rio de Janeiro
Luísa;Sousa;Almeida;Argentina;Ceará
Fernanda;Oliveira;Pereira;Chile;Pernambuco
Fernanda;Almeida;Ferreira;Chile;Paraná
João;Almeida;Santos;Colômbia;Pernambuco
Gustavo;Almeida;Sousa;Portugal;Ceará
Ricardo;Almeida;Sousa;Portugal;São Paulo
Camila;Silva;Lima;Argentina;Bahia
Carlos;Almeida;Sousa;Portugal;Ceará
Fernanda;Costa;Pereira;Argentina;São Paulo
Carlos;Almeida;Sousa;Portugal;Rio Grande do Sul
Pedro;Martins;Santos;Portugal;Ceará
Pedro;Silva;Sousa;Brasil;Rio de Janeiro
Luísa;Oliveira;Almeida;Chile;Bahia
Camila;Martins;Pereira;Chile;Ceará
Ricardo;Costa;Almeida;Brasil;Rio Grande do Sul
Pedro;Almeida;Oliveira;Portugal;São Paulo
Carlos;Sousa;Almeida;Argentina;Rio Grande do Sul
Carlos;Ferreira;Oliveira;Brasil;Rio Grande do Sul
Maria;Ferreira;Silva;Argentina;Pernambuco
Maria;Silva;Pereira;Brasil;Rio Grande do Sul
Pedro;Sousa;Silva;Portugal;Rio Grande do Sul
Maria;Pereira;Oliveira;Portugal;Paraná
Fernanda;Costa;Ferreira;Colômbia;Bahia
Luísa;Lima;Pereira;Chile;Bahia
Maria;Pereira;Pereira;Colômbia;Pernambuco
Camila;Oliveira;Costa;Colômbia;Pernambuco
Ana;Lima;Ferreira;Colômbia;Paraná
Pedro;Pereira;Martins;Brasil;Bahia
Carlos;Martins;Martins;Argentina;Rio de Janeiro
Pedro;Santos;Martins;Brasil;Rio Grande do Sul
Ana;Oliveira;Sousa;Chile;São Paulo
Camila;Pereira;Oliveira;Chile;Paraná
Luísa;Sousa;Pereira;Colômbia;Rio de Janeiro
Gustavo;Lima;Lima;Chile;Rio de Janeiro
Gustavo;Oliveira;Ferreira;Brasil;Rio Grande do Sul
Fernanda;Oliveira;Santos;Colômbia;Rio de Janeiro
Gustavo;Ferreira;Santos;Portugal;Ceará
João;Costa;Oliveira;Argentina;Bahia
Gustavo;Santos;Almeida;Chile;Bahia
João;Costa;Ferreira;Chile;Rio Grande do Sul
Fernanda;Silva;Costa;Portugal;Rio Grande do Sul
Pedro;Ferreira;Lima;Colômbia;Minas Gerais
Ana;Sousa;Silva;Chile;Minas Gerais
Camila;Silva;Oliveira;Colômbia;Paraná
Pedro;Lima;Almeida;Brasil;Minas Gerais
Luísa;Martins;Lima;Colômbia;Minas Gerais
Luísa;Lima;Oliveira;Argentina;Paraná
Fernanda;Almeida;Ferreira;Brasil;Pernambuco
Maria;Martins;Oliveira;Brasil;Paraná
Gustavo;Pereira;Silva;Portugal;São Paulo
Ana;Costa;Oliveira;Chile;Bahia
Gustavo;Ferreira;Sousa;Brasil;Paraná
Maria;Ferreira;Oliveira;Colômbia;Paraná
Fernanda;Santos;Oliveira;Chile;Minas Gerais
Carlos;Santos;Costa;Brasil;Rio de Janeiro
Luísa;Sousa;Sousa;Portugal;São Paulo
Gustavo;Sousa;Lima;Argentina;São Paulo
Carlos;Martins;Ferreira;Portugal;Ceará
Maria;Ferreira;Oliveira;Chile;Rio Grande do Sul
Pedro;Ferreira;Sousa;Portugal;Bahia
Camila;Costa;Silva;Brasil;Paraná
João;Sousa;Oliveira;Portugal;Rio Grande do Sul
Pedro;Almeida;Martins;Brasil;Pernambuco
Carlos;Almeida;Santos;Chile;Minas Gerais
Pedro;Oliveira;Sousa;Chile;São Paulo
Camila;Lima;Oliveira;Portugal;Rio de Janeiro
Camila;Sousa;Costa;Argentina;Paraná
Carlos;Martins;Costa;Argentina;São Paulo
Camila;Martins;Almeida;Argentina;São Paulo
Pedro;Costa;Martins;Portugal;Paraná
Ana;Sousa;Pereira;Portugal;Minas Gerais
Carlos;Almeida;Ferreira;Argentina;Rio de Janeiro
Fernanda;Ferreira;Oliveira;Colômbia;Minas Gerais
João;Pereira;Pereira;Colômbia;Ceará
Gustavo;Martins;Ferreira;Portugal;Ceará
Pedro;Costa;Pereira;Portugal;Ceará
João;Pereira;Ferreira;Argentina;Rio Grande do Sul
Pedro;Silva;Pereira;Brasil;Bahia
Ana;Martins;Martins;Argentina;Bahia
Luísa;Sousa;Lima;Chile;Bahia
Gustavo;Ferreira;Oliveira;Brasil;Paraná
Fernanda;Almeida;Santos;Brasil;Minas Gerais
Fernanda;Almeida;Sousa;Colômbia;Ceará
Luísa;Oliveira;Oliveira;Portugal;Minas Gerais
Carlos;Oliveira;Almeida;Argentina;Minas Gerais
Gustavo;Martins;Costa;Chile;São Paulo
Luísa;Pereira;Pereira;Colômbia;Minas Gerais
Fernanda;Martins;Ferreira;Chile;São Paulo
Fernanda;Silva;Costa;Brasil;Ceará
Ricardo;Costa;Sousa;Argentina;Paraná
João;Almeida;Santos;Brasil;Rio de Janeiro
Fernanda;Sousa;Silva;Portugal;Rio Grande do Sul
Camila;Costa;Oliveira;Colômbia;Rio Grande do Sul
Ana;Almeida;Santos;Brasil;Paraná
Maria;Sousa;Almeida;Chile;Rio Grande do Sul
Pedro;Sousa;Lima;Brasil;Pernambuco
Luísa;Santos;Martins;Chile;São Paulo
Ricardo;Ferreira;Costa;Portugal;Bahia
Luísa;Lima;Oliveira;Portugal;Bahia
Gustavo;Pereira;Sousa;Portugal;Ceará
João;Santos;Sousa;Brasil;Rio de Janeiro
Fernanda;Pereira;Ferreira;Portugal;Paraná
Pedro;Costa;Oliveira;Portugal;Pernambuco
Fernanda;Santos;Silva;Chile;Rio de Janeiro
Ricardo;Ferreira;Sousa;Argentina;Minas Gerais
Gustavo;Ferreira;Costa;Brasil;Bahia
Camila;Silva;Almeida;Portugal;Rio Grande do Sul
Carlos;Oliveira;Almeida;Chile;Ceará
Pedro;Costa;Lima;Brasil;Paraná
Luísa;Martins;Martins;Colômbia;Rio Grande do Sul
Luísa;Lima;Oliveira;Chile;Bahia
Fernanda;Ferreira;Oliveira;Colômbia;Pernambuco
Maria;Santos;Santos;Portugal;São Paulo
João;Lima;Oliveira;Argentina;Ceará
Pedro;Ferreira;Martins;Colômbia;Pernambuco
Fernanda;Ferreira;Martins;Argentina;Rio Grande do Sul
Ana;Santos;Oliveira;Argentina;Minas Gerais
Pedro;Pereira;Martins;Portugal;Pernambuco
Maria;Costa;Costa;Portugal;Minas Gerais
Pedro;Sousa;Sousa;Colômbia;Rio Grande do Sul
Gustavo;Silva;Lima;Brasil;Rio de Janeiro
Luísa;Lima;Silva;Colômbia;Rio de Janeiro
Ana;Lima;Martins;Argentina;Ceará
Pedro;Pereira;Oliveira;Brasil;Minas Gerais
Maria;Silva;Sousa;Portugal;Rio de Janeiro
Carlos;Pereira;Almeida;Brasil;Rio de Janeiro
Camila;Costa;Almeida;Chile;Ceará
Carlos;Sousa;Almeida;Brasil;Ceará
Luísa;Oliveira;Costa;Chile;Paraná
Ana;Ferreira;Almeida;Brasil;Pernambuco
Luísa;Lima;Ferreira;Brasil;Paraná
Gustavo;Sousa;Costa;Argentina;Pernambuco
Carlos;Costa;Pereira;Portugal;Pernambuco
Ana;Sousa;Pereira;Chile;Ceará
Camila;Pereira;Pereira;Chile;Rio Grande do Sul
Fernanda;Costa;Santos;Chile;Bahia
Fernanda;Silva;Sousa;Brasil;Ceará
Pedro;Almeida;Oliveira;Colômbia;Paraná
João;Silva;Silva;Portugal;Ceará
Luísa;Almeida;Santos;Brasil;Rio Grande do Sul
Pedro;Martins;Oliveira;Argentina;Minas Gerais
Fernanda;Pereira;Martins;Chile;Rio Grande do Sul
Ana;Sousa;Lima;Brasil;São Paulo
Ricardo;Santos;Sousa;Chile;Rio Grande do Sul
Maria;Martins;Silva;Brasil;Ceará
Ana;Silva;Martins;Argentina;Paraná
Camila;Sousa;Martins;Colômbia;Minas Gerais
Ana;Costa;Ferreira;Portugal;Bahia
Gustavo;Ferreira;Pereira;Chile;Rio de Janeiro
Ana;Silva;Silva;Portugal;Minas Gerais
Fernanda;Sousa;Lima;Argentina;Pernambuco
Camila;Sousa;Lima;Colômbia;Rio de Janeiro
Ricardo;Oliveira;Ferreira;Chile;Pernambuco
Fernanda;Santos;Oliveira;Portugal;Pernambuco
Gustavo;Ferreira;Pereira;Colômbia;Rio de Janeiro
Luísa;Martins;Sousa;Argentina;Minas Gerais
Fernanda;Santos;Santos;Chile;Bahia
Ricardo;Almeida;Ferreira;Portugal;Pernambuco
João;Almeida;Costa;Argentina;São Paulo
Carlos;Oliveira;Ferreira;Argentina;Ceará
Fernanda;Costa;Martins;Argentina;Rio de Janeiro
Camila;Almeida;Martins;Colômbia;Pernambuco
Luísa;Costa;Pereira;Chile;São Paulo
Camila;Ferreira;Silva;Colômbia;Minas Gerais
João;Ferreira;Santos;Colômbia;Paraná
Ricardo;Sousa;Martins;Chile;Paraná
Carlos;Costa;Silva;Brasil;Minas Gerais
Maria;Almeida;Sousa;Brasil;Rio de Janeiro
Fernanda;Ferreira;Martins;Brasil;São Paulo
Ana;Sousa;Costa;Colômbia;Ceará
Ricardo;Sousa;Silva;Chile;Rio de Janeiro
Camila;Oliveira;Oliveira;Portugal;São Paulo
Camila;Lima;Santos;Colômbia;Pernambuco
Luísa;Costa;Costa;Chile;Ceará
João;Ferreira;Silva;Portugal;Minas Gerais
Luísa;Sousa;Costa;Brasil;Minas Gerais
Pedro;Silva;Almeida;Chile;Ceará
Ricardo;Sousa;Martins;Colômbia;Pernambuco
Maria;Sousa;Ferreira;Brasil;Pernambuco
Maria;Almeida;Santos;Chile;Paraná
Gustavo;Almeida;Lima;Colômbia;Rio de Janeiro
Ricardo;Costa;Martins;Colômbia;Bahia
Carlos;Almeida;Costa;Brasil;Rio Grande do Sul
Gustavo;Sousa;Martins;Argentina;Paraná
Camila;Santos;Santos;Brasil;Minas Gerais
Pedro;Santos;Santos;Brasil;São Paulo
Carlos;Ferreira;Sousa;Portugal;Minas Gerais
João;Costa;Silva;Argentina;Paraná
Gustavo;Silva;Lima;Argentina;Rio de Janeiro
Ricardo;Silva;Almeida;Portugal;Rio Grande do Sul
Carlos;Lima;Silva;Colômbia;São Paulo
Luísa;Costa;Lima;Colômbia;Rio de Janeiro
Camila;Pereira;Silva;Brasil;Rio Grande do Sul
Maria;Santos;Sousa;Portugal;Bahia
Ana;Silva;Silva;Colômbia;Pernambuco
Ricardo;Ferreira;Lima;Portugal;Rio Grande do Sul
Maria;Almeida;Costa;Argentina;Rio Grande do Sul
Fernanda;Oliveira;Almeida;Chile;Bahia
Maria;Martins;Ferreira;Argentina;Minas Gerais
Carlos;Costa;Sousa;Portugal;Bahia
Fernanda;Lima;Oliveira;Brasil;Paraná
Camila;Santos;Lima;Brasil;Ceará
Carlos;Costa;Oliveira;Colômbia;São Paulo
Ricardo;Martins;Martins;Chile;Minas Gerais
Pedro;Ferreira;Almeida;Chile;Minas Gerais
Gustavo;Santos;Lima;Colômbia;Pernambuco
Camila;Santos;Santos;Brasil;Pernambuco
Ana;Almeida;Almeida;Chile;Ceará
João;Silva;Martins;Argentina;Minas Gerais
Carlos;Silva;Martins;Colômbia;Paraná
Gustavo;Almeida;Almeida;Colômbia;Bahia
Carlos;Silva;Santos;Colômbia;Rio de Janeiro
Ricardo;Lima;Costa;Portugal;Rio Grande do Sul
Gustavo;Almeida;Martins;Portugal;Minas Gerais
Pedro;Pereira;Ferreira;Brasil;Rio de Janeiro
Luísa;Martins;Oliveira;Chile;Rio de Janeiro
Ana;Pereira;Costa;Brasil;Bahia
Ricardo;Costa;Martins;Brasil;Minas Gerais
Gustavo;Ferreira;Ferreira;Argentina;Rio Grande do Sul
Ricardo;Pereira;Silva;Chile;Paraná
